Sequence,State,City,Address
1,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati"
2,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram "
3,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati "
4,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada "
5,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam"
6,Arunachal_Pradesh,,"Naharlagun, Naharlagun "
7,Assam,Guwahati,"Railway Colony, Guwahati"
8,Assam,Guwahati,"Pan Bazaar, Guwahati"
9,Bihar,Araria,"Kharahiya Basti, Araria "
10,Bihar,Arrah,"New DM Office, Arrah "
11,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad "
12,Bihar,Begusarai,"DRCC Anandpur, Begusarai "
13,Bihar,Bettiah,"Kamalnath Nagar, Bettiah "
14,Bihar,Bhagalpur,"Mayaganj, Bhagalpur "
15,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur "
16,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif "
17,Bihar,Buxar,"Central Jail, Buxar "
18,Bihar,Chhapra,"Darshan Nagar, Chhapra "
19,Bihar,Darbhanga,"Town Hall - Lal Bagh, Darbhanga "
20,Bihar,Gaya,"Collectorate, Gaya "
21,Bihar,Gaya,"SFTI Kusdihra, Gaya "
22,Bihar,Gaya,"Kareemganj, Gaya "
23,Bihar,Hajipur,"Industrial Area, Hajipur "
24,Bihar,Katihar,"Mirchaibari, Katihar "
25,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj "
26,Bihar,Manguraha,"Forest Rest House, Manguraha "
27,Bihar,Motihari,"Gandak Colony, Motihari "
28,Bihar,Munger,"Town Hall, Munger "
29,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur "
30,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur "
31,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur "
32,Bihar,Patna,"IGSC Planetarium Complex, Patna "
33,Bihar,Patna,"Muradpur, Patna "
34,Bihar,Patna,"Samanpura, Patna "
35,Bihar,Patna,"Rajbansi Nagar, Patna "
36,Bihar,Patna,"DRM Office Danapur, Patna "
37,Bihar,Patna,"Govt. High School Shikarpur, Patna "
38,Bihar,Purnia,"Mariam Nagar, Purnia "
39,Bihar,Rajgir,"Dangi Tola, Rajgir "
40,Bihar,Saharsa,"Police Line, Saharsa "
41,Bihar,Samastipur,"DM Office_Kasipur, Samastipur "
42,Bihar,Sasaram,"Dada Peer, Sasaram "
43,Bihar,Siwan,"Chitragupta Nagar, Siwan "
44,Chandigarh,Chandigarh,"Sector-25, Chandigarh "
45,Chandigarh,Chandigarh,"Sector 22, Chandigarh "
46,Chandigarh,Chandigarh,"Sector-53, Chandigarh "
47,Chhattisgarh,Bhilai,"Civic Center, Bhilai "
48,Chhattisgarh,Bilaspur,"Mangala, Bilaspur "
49,Delhi,Delhi,"Alipur, Delhi "
50,Delhi,Delhi,"Shadipur, Delhi "
51,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi "
52,Delhi,Delhi,"NSIT Dwarka, Delhi "
53,Delhi,Delhi,"DTU, Delhi "
54,Delhi,Delhi,"ITO, Delhi "
55,Delhi,Delhi,"Sirifort, Delhi "
56,Delhi,Delhi,"Mandir Marg, Delhi "
57,Delhi,Delhi,"Anand Vihar, Delhi"
58,Delhi,Delhi,"R K Puram, Delhi"
59,Delhi,Delhi,"Punjabi Bagh, Delhi"
60,Delhi,Delhi,"Aya Nagar, Delhi "
61,Delhi,Delhi,"Lodhi Road, Delhi "
62,Delhi,Delhi,"North Campus, DU, Delhi "
63,Delhi,Delhi,"Burari Crossing, Delhi "
64,Delhi,Delhi,"CRRI Mathura Road, Delhi "
65,Delhi,Delhi,"Pusa, Delhi "
66,Delhi,Delhi,"IGI Airport (T3), Delhi "
67,Delhi,Delhi,"East Arjun Nagar, Delhi "
68,Delhi,Delhi,"Ashok Vihar, Delhi"
69,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi"
70,Delhi,Delhi,"Nehru Nagar, Delhi"
71,Delhi,Delhi,"Dwarka-Sector 8, Delhi "
