,Address,geocoded,lattitude,longitude
0,"Secretariat, Amaravati","(16.5045615, 80.5235168)",16.5045615,80.5235168
1,"Anand Kala Kshetram, Rajamahendravaram ","(16.9955344, 81.777335)",16.9955344,81.777335
2,"Tirumala, Tirupati ","(13.6807357, 79.3508975)",13.6807357,79.3508975
3,"PWD Grounds, Vijayawada ","(16.5064045, 80.6320387)",16.5064045,80.6320387
4,"GVM Corporation, Visakhapatnam","(17.6868159, 83.2184815)",17.6868159,83.2184815
5,"Naharlagun, Naharlagun ","(27.1086309, 93.69839789999999)",27.1086309,93.69839789999999
6,"Railway Colony, Guwahati","(26.1795873, 91.78431499999999)",26.1795873,91.78431499999999
7,"Pan Bazaar, Guwahati","(26.1859679, 91.7453642)",26.1859679,91.7453642
8,"Kharahiya Basti, Araria ","(26.1475707, 87.45668169999999)",26.1475707,87.45668169999999
9,"New DM Office, Arrah ","(25.5626095, 84.663264)",25.5626095,84.663264
10,"Gurdeo Nagar, Aurangabad ","(24.7548649, 84.3680054)",24.7548649,84.3680054
11,"DRCC Anandpur, Begusarai ","(25.4445116, 86.1399615)",25.4445116,86.1399615
12,"Kamalnath Nagar, Bettiah ","(26.8040197, 84.5104212)",26.8040197,84.5104212
13,"Mayaganj, Bhagalpur ","(25.2610043, 87.0086927)",25.2610043,87.0086927
14,"DM Office_Kachari Chowk, Bhagalpur ","(25.2506776, 86.9897915)",25.2506776,86.9897915
15,"D M Colony, Bihar Sharif ","(25.2033713, 85.5142297)",25.2033713,85.5142297
16,"Central Jail, Buxar ","(25.5580341, 83.9499487)",25.5580341,83.9499487
17,"Darshan Nagar, Chhapra ","(25.7827064, 84.7459203)",25.7827064,84.7459203
18,"Town Hall - Lal Bagh, Darbhanga ","(26.1514392, 85.8934836)",26.1514392,85.8934836
19,"Collectorate, Gaya ","(24.7910392, 85.00636399999999)",24.7910392,85.00636399999999
20,"SFTI Kusdihra, Gaya ","(24.7625227, 84.9804538)",24.7625227,84.9804538
21,"Kareemganj, Gaya ","(24.7953413, 84.98825479999999)",24.7953413,84.98825479999999
22,"Industrial Area, Hajipur ","(25.6927811, 85.24011639999999)",25.6927811,85.24011639999999
23,"Mirchaibari, Katihar ","(25.5626421, 87.5628552)",25.5626421,87.5628552
24,"SDM Office_Khagra, Kishanganj ","(26.0880835, 87.9383428)",26.0880835,87.9383428
25,"Forest Rest House, Manguraha ","(26.5638594, 84.60735369999999)",26.5638594,84.60735369999999
26,"Gandak Colony, Motihari ","(26.631984, 84.9010818)",26.631984,84.9010818
27,"Town Hall, Munger ","(25.3766685, 86.47141289999999)",25.3766685,86.47141289999999
28,"Muzaffarpur Collectorate, Muzaffarpur ","(26.1235085, 85.3812437)",26.1235085,85.3812437
29,"Buddha Colony, Muzaffarpur ","(26.1166997, 85.39950309999999)",26.1166997,85.39950309999999
30,"MIT-Daudpur Kothi, Muzaffarpur ","(26.141335, 85.3654296)",26.141335,85.3654296
31,"IGSC Planetarium Complex, Patna ","(25.6107873, 85.131507)",25.6107873,85.131507
32,"Muradpur, Patna ","(25.6194928, 85.14663999999999)",25.6194928,85.14663999999999
33,"Samanpura, Patna ","(25.6074609, 85.08456749999999)",25.6074609,85.08456749999999
34,"Rajbansi Nagar, Patna ","(25.603603, 85.1119721)",25.603603,85.1119721
35,"DRM Office Danapur, Patna ","(25.5856237, 85.04429929999999)",25.5856237,85.04429929999999
36,"Govt. High School Shikarpur, Patna ","(25.5932705, 85.2272332)",25.5932705,85.2272332
37,"Mariam Nagar, Purnia ","(25.766642, 87.46658839999999)",25.766642,87.46658839999999
