PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature,TM,Tm,Humidity,Precipitation,Visbility,wind_speed,AQI
84.16442308,134.5612308,0.92,18.22,17.15,1.6,0.92,27.64,133.36,19.6,24,16,71,0,4,13.5,331.1730769
84.16442308,134.5612308,0.97,15.69,16.46,1.6,0.97,24.55,34.06,19.6,24,16,71,0,4,13.5,331.1730769
84.16442308,134.5612308,17.4,19.3,29.7,1.6,17.4,29.07,30.7,19.6,25,15,70,0,4,10,331.1730769
84.16442308,134.5612308,1.7,18.48,17.97,1.6,1.7,18.59,36.08,19.6,25,15,70,0,4,10,331.1730769
84.16442308,134.5612308,22.1,21.42,37.76,1.6,22.1,39.33,39.31,18.8,25,15,73,0,3.9,7.2,331.1730769
84.16442308,134.5612308,45.41,38.48,81.5,1.6,45.41,45.76,46.51,18.8,25,15,73,0,3.9,7.2,331.1730769
84.16442308,134.5612308,112.16,40.62,130.77,1.6,112.16,32.28,33.47,18.9,29,11,60,0,3.7,2.6,331.1730769
84.16442308,134.5612308,80.87,36.74,96.75,1.6,80.87,38.54,31.89,18.9,29,11,60,0,3.7,2.6,331.1730769
84.16442308,134.5612308,29.16,31,48,1.6,29.16,58.68,25.75,19.6,29,12,55,0,3.5,4.3,331.1730769
84.16442308,134.5612308,81.26,7.04,0,1.6,81.26,8.29,4.55,19.6,29,12,55,0,3.5,4.3,331.1730769
84.16442308,134.5612308,132.07,55.8,24.53,1.6,132.07,25.03,6.79,18.9,29,12,51,0,4,4.3,331.1730769
84.16442308,134.5612308,52.04,40.67,90.24,1.6,52.04,51.84,45.89,18.9,29,12,51,0,4,4.3,331.1730769
84.16442308,134.5612308,48.82,44.2,87.09,1.6,48.82,68.21,35.16,19.2,30,11,56,0,3.5,3.1,331.1730769
84.16442308,134.5612308,19.2,27.86,33.05,1.6,19.2,52.65,20.96,19.2,30,11,56,0,3.5,3.1,331.1730769
84.16442308,134.5612308,0.6,16.96,16.6,1.6,0.6,28.89,47.63,19.4,28,12,70,0,2.9,5.4,331.1730769
84.16442308,134.5612308,1.63,21.72,22.86,1.6,1.63,38.27,46.03,19.4,28,12,70,0,2.9,5.4,331.1730769
84.16442308,134.5612308,11.44,24.73,34.75,1.6,11.44,49.5,52.24,18.9,27,12,52,0,3.9,8.9,331.1730769
84.16442308,134.5612308,6.1,25.77,29.57,1.6,6.1,48.43,53.49,18.9,27,12,52,0,3.9,8.9,331.1730769
87.86625,134.5612308,2.51,26.88,27.45,1.6,2.51,50.03,49.48,19.3,27.2,11,48,0,4,10,363.375
87.86625,134.5612308,7.92,26.8,32.4,1.6,7.92,58.87,56.37,19.3,27.2,11,48,0,4,10,363.375
87.86625,134.5612308,9.52,33.56,39.28,1.6,9.52,106.93,48.75,21.8,28.4,15,50,0,4.2,5.7,363.375
87.86625,134.5612308,9.05,17.51,22.33,1.6,9.05,23.71,42.22,21.8,28.4,15,50,0,4.2,5.7,363.375
87.86625,134.5612308,22.53,27.96,47.79,1.6,22.53,39.19,32.92,21.7,26.5,15,68,0,2.6,4.1,363.375
87.86625,134.5612308,2.03,20.39,21.4,1.6,2.03,40.07,32.49,21.7,26.5,15,68,0,2.6,4.1,363.375
78.73666667,134.5612308,1.42,20.43,20.19,1.6,1.42,58.41,39.26,18.7,25.1,13,63,0,3.9,5.2,268.5
78.73666667,134.5612308,2.27,21.16,21.81,1.6,2.27,43.73,39.83,18.7,25.1,13,63,0,3.9,5.2,268.5
78.73666667,134.5612308,2.19,21.7,23.26,1.6,2.19,43.28,41.1,17.4,25,12,61,0,3.7,6.5,268.5
73.24,134.5612308,5.72,21.11,25.84,1.6,5.72,36.52,62.42,17.4,25,12,61,0,3.7,6.5,268.5
83.13,134.5612308,6.93,28.71,33.72,1.6,6.93,49.52,59.76,16.5,24.3,11,57,0,3.9,8,209
79.84,134.5612308,13.85,28.68,41.08,1.6,13.85,48.49,97.07,16.5,24.3,11,57,0,3.9,8,328
94.52,134.5612308,24.39,32.66,52.61,1.6,24.39,67.39,111.33,19.2,29.4,11,47,0,4.3,5.9,514
135.99,134.5612308,43.48,42.08,84.57,1.6,43.48,75.23,102.7,19.2,29.4,11,47,0,4.3,5.9,782
178.33,134.5612308,54.56,35.31,72.8,1.6,54.56,55.04,107.38,23.8,32,14,41,0,4.3,4.4,914
139.7,134.5612308,30.61,28.4,56.73,1.6,30.61,33.79,73.6,23.8,32,14,41,0,4.3,4.4,660
80.65,134.5612308,2.37,22.83,24,1.6,2.37,25.73,47.3,22.1,31,14,57,0,3.9,3.3,294
58.36,134.5612308,2.6,21.39,23.31,1.6,2.6,32.66,53.54,22.1,31,14,57,0,3.9,3.3,149
79.29,134.5612308,1.16,26.94,26.83,1.6,1.16,67.41,59.3,22.2,30,15,57,0,4,5.6,190
88.7,134.5612308,7.29,31.32,37.73,1.6,7.29,80.09,44.76,22.2,30,15,57,0,4,5.6,247
74.28,134.5612308,8.92,27.3,33.42,1.6,8.92,54.28,47.42,22.4,32,15,44,0,4.3,4.3,379
113.93,134.5612308,4.32,24.27,26.86,1.6,4.32,48.73,39.94,22.4,32,15,44,0,4.3,4.3,341
105.39,134.5612308,1.41,18.21,18.75,1.6,1.41,35.91,56.15,21.1,30.3,13,39,0,4.5,5.7,256
66.52,134.5612308,6.34,23.8,28.24,1.6,6.34,66.58,53.14,21.1,30.3,13,39,0,4.5,5.7,388
65.04,134.5612308,14.19,30.1,44.21,1.6,14.19,65.91,31.88,22.4,30,14,46,0,4.5,11.1,288
103.36,134.5612308,18.18,39.56,57.33,1.6,18.18,80.43,40.11,22.4,30,14,46,0,4.5,11.1,510
177.33,134.5612308,37.49,47.58,77.85,1.6,37.49,99.72,36.47,23.2,33,13,39,0,4.3,4.1,761
113.25,134.5612308,15.55,30.5,44.87,1.6,15.55,69.71,33.78,23.2,33,13,39,0,4.3,4.1,475
99.7,134.5612308,19.85,28.1,47.31,1.6,19.85,73.23,30.57,24.8,34,14,43,0,4,4.6,536
80.61,134.5612308,15.96,21.04,35.67,1.6,15.96,54.7,36.2,24.8,34,14,43,0,4,4.6,479
100.79,134.5612308,16.24,25.93,41.91,1.6,16.24,43.11,37.43,25.8,35,17,55,0,4.2,5,592
107.99,134.5612308,11.25,30.09,40.47,1.6,11.25,84.86,31.94,25.8,35,17,55,0,4.2,5,427
140.29,134.5612308,33.84,36.14,68.85,1.6,33.84,101.53,40.98,25.3,34,18,56,0,4,3.9,588
239.96,134.5612308,61.95,46.25,106.92,1.6,61.95,84.87,33.55,25.3,34,18,56,0,4,3.9,1141
142.96,134.5612308,45.45,48.21,92.32,1.6,45.45,62.96,34.77,26,36,18,49,0,4,3.9,669
238.41,134.5612308,77.7,55.07,131.32,1.6,77.7,89.07,37.3,26,36,18,49,0,4,3.9,1247
118.72,134.5612308,12.56,32.01,42.56,1.6,12.56,61.54,38.8,26.2,37,17,44,0,4.2,3,411
52.99,134.5612308,2.23,10.45,10.39,1.6,2.23,32.76,67.25,26.2,37,17,44,0,4.2,3,292
77.61,134.5612308,6.123333333,19.75666667,24.62333333,1.6,6.123333333,40.91333333,45.51,22.9,30,18,42,0,4.7,8.9,351.5
77.61,134.5612308,6.123333333,19.75666667,24.62333333,1.6,6.123333333,40.91333333,45.51,22.9,30,18,42,0,4.7,8.9,351.5
77.61,134.5612308,6.123333333,19.75666667,24.62333333,1.6,6.123333333,40.91333333,45.51,20.8,29,13,31,0,4.7,6.5,351.5
61.12,134.5612308,3.58,16.81,20.92,1.6,3.58,28.44,30.48,20.8,29,13,31,0,4.7,6.5,351.5
60.78,134.5612308,9.07,18.21,27.34,1.6,9.07,29.48,34.75,21.8,31,11.6,32,0,4.2,5,189
91.83,134.5612308,12.99,28.71,40.76,1.6,12.99,39.71,38.46,21.8,31,11.6,32,0,4.2,5,408
93.88,134.5612308,18.21,29.38,47.01,1.6,18.21,62.75,46.79,19.9,25.1,15,78,0,3.9,7.2,383
173.01,134.5612308,48.44,42.27,90.73,1.6,48.44,78.76,59.39,19.9,25.1,15,78,0,3.9,7.2,780
104.99,134.5612308,18.242,26.934,44.9,1.6,18.242,47.998,49.858,19.6,26,15,65,0,3.9,5.7,440
105.45,134.5612308,2.5,16.1,18.66,1.6,2.5,29.29,69.9,19.6,26,15,65,0,3.9,5.7,440
71.56,134.5612308,3.51,16.83,20.32,1.6,3.51,30.28,57.16,21.4,28,14,49,0,4.2,5.2,190
119.8,134.5612308,4.13,24.07,27.9,1.6,4.13,50.35,50.49,21.4,28,14,49,0,4.2,5.2,233
106.71,134.5612308,5.39,25.59,30.51,1.6,5.39,38.85,60.17,27.3,35,16.4,37,0,4.3,6.9,297
118.49,134.5612308,4.11,28.94,31.83,1.6,4.11,54.2,53.61,27.3,35,16.4,37,0,4.3,6.9,330
106.01,134.5612308,4.28,27.31,30.54,1.6,4.28,70.29,40.91,25.8,34,17,36,0,4.5,5.9,252
97.34,134.5612308,3.67,21.58,24.62,1.6,3.67,64.39,45.69,25.8,34,17,36,0,4.5,5.9,244
83.92,134.5612308,6.42,25.03,30.8,1.6,6.42,67.53,34.94,24,33,17,28,0,4.3,10.7,234
49.51,134.5612308,3.1,14.16,16.15,1.6,3.1,48.33,37.95,24,33,17,28,0,4.3,10.7,219
30.76,134.5612308,2.72,14.14,16.98,1.6,2.72,43.62,54.78,26.2,32,21,52,0.51,4.2,10,118
50.29,134.5612308,5.34,29.84,33.28,1.6,5.34,59.23,45.44,26.2,32,21,52,0.51,4.2,10,231
57.69,134.5612308,25.36,29.48,54.79,1.6,25.36,58.33,52.87,25.2,33,20.6,61,0,4,5.4,286
105.06,134.5612308,46.24,37.05,82.23,1.6,46.24,53.62,45.65,25.2,33,20.6,61,0,4,5.4,883
94.1,134.5612308,22.14,36.53,57.49,1.6,22.14,61.31,46.77,26.3,32,20.5,49,5.08,4.7,11.1,720
111.89,134.5612308,22.25,43.29,64.53,1.6,22.25,66.44,50.57,26.3,32,20.5,49,5.08,4.7,11.1,570
108.59,134.5612308,25.38,39.34,63.01,1.6,25.38,75.8,46.68,27.7,37,18.4,28,0,4.7,5.9,589
