T,TM,Tm,H,PP,VV,V,VM,NH3
19.6,24,16,71,0,4,13.5,22.2,1.6
19.6,24,16,71,0,4,13.5,22.2,1.6
19.6,25,15,70,0,4,10,16.5,1.6
19.6,25,15,70,0,4,10,16.5,1.6
18.8,25,15,73,0,3.9,7.2,13,1.6
18.8,25,15,73,0,3.9,7.2,13,1.6
18.9,29,11,60,0,3.7,2.6,11.1,1.6
18.9,29,11,60,0,3.7,2.6,11.1,1.6
19.6,29,12,55,0,3.5,4.3,9.4,1.6
19.6,29,12,55,0,3.5,4.3,9.4,1.6
18.9,29,12,51,0,4,4.3,11.1,1.6
18.9,29,12,51,0,4,4.3,11.1,1.6
19.2,30,11,56,0,3.5,3.1,9.4,1.6
19.2,30,11,56,0,3.5,3.1,9.4,1.6
19.4,28,12,70,0,2.9,5.4,13,1.6
19.4,28,12,70,0,2.9,5.4,13,1.6
18.9,27,12,52,0,3.9,8.9,18.3,1.6
18.9,27,12,52,0,3.9,8.9,18.3,1.6
19.3,27.2,11,48,0,4,10,14.8,1.6
19.3,27.2,11,48,0,4,10,14.8,1.6
21.8,28.4,15,50,0,4.2,5.7,13,1.6
21.8,28.4,15,50,0,4.2,5.7,13,1.6
21.7,26.5,15,68,0,2.6,4.1,16.5,1.6
21.7,26.5,15,68,0,2.6,4.1,16.5,1.6
18.7,25.1,13,63,0,3.9,5.2,14.8,1.6
18.7,25.1,13,63,0,3.9,5.2,14.8,1.6
17.4,25,12,61,0,3.7,6.5,16.5,1.6
17.4,25,12,61,0,3.7,6.5,16.5,1.6
16.5,24.3,11,57,0,3.9,8,16.5,1.6
16.5,24.3,11,57,0,3.9,8,16.5,1.6
19.2,29.4,11,47,0,4.3,5.9,13,1.6
19.2,29.4,11,47,0,4.3,5.9,13,1.6
23.8,32,14,41,0,4.3,4.4,11.1,1.6
23.8,32,14,41,0,4.3,4.4,11.1,1.6
22.1,31,14,57,0,3.9,3.3,14.8,1.6
22.1,31,14,57,0,3.9,3.3,14.8,1.6
22.2,30,15,57,0,4,5.6,13,1.6
22.2,30,15,57,0,4,5.6,13,1.6
22.4,32,15,44,0,4.3,4.3,11.1,1.6
22.4,32,15,44,0,4.3,4.3,11.1,1.6
21.1,30.3,13,39,0,4.5,5.7,11.1,1.6
21.1,30.3,13,39,0,4.5,5.7,11.1,1.6
22.4,30,14,46,0,4.5,11.1,14.8,1.6
22.4,30,14,46,0,4.5,11.1,14.8,1.6
23.2,33,13,39,0,4.3,4.1,13,1.6
23.2,33,13,39,0,4.3,4.1,13,1.6
24.8,34,14,43,0,4,4.6,14.8,1.6
24.8,34,14,43,0,4,4.6,14.8,1.6
25.8,35,17,55,0,4.2,5,11.1,1.6
25.8,35,17,55,0,4.2,5,11.1,1.6
25.3,34,18,56,0,4,3.9,14.8,1.6
25.3,34,18,56,0,4,3.9,14.8,1.6
26,36,18,49,0,4,3.9,9.4,1.6
26,36,18,49,0,4,3.9,9.4,1.6
26.2,37,17,44,0,4.2,3,9.4,1.6
26.2,37,17,44,0,4.2,3,9.4,1.6
22.9,30,18,42,0,4.7,8.9,18.3,1.6
22.9,30,18,42,0,4.7,8.9,18.3,1.6
20.8,29,13,31,0,4.7,6.5,18.3,1.6
20.8,29,13,31,0,4.7,6.5,18.3,1.6
21.8,31,11.6,32,0,4.2,5,11.1,1.6
21.8,31,11.6,32,0,4.2,5,11.1,1.6
19.9,25.1,15,78,0,3.9,7.2,18.3,1.6
19.9,25.1,15,78,0,3.9,7.2,18.3,1.6
19.6,26,15,65,0,3.9,5.7,16.5,1.6
19.6,26,15,65,0,3.9,5.7,16.5,1.6
21.4,28,14,49,0,4.2,5.2,11.1,1.6
21.4,28,14,49,0,4.2,5.2,11.1,1.6
27.3,35,16.4,37,0,4.3,6.9,22.2,1.6
27.3,35,16.4,37,0,4.3,6.9,22.2,1.6
25.8,34,17,36,0,4.5,5.9,13,1.6
25.8,34,17,36,0,4.5,5.9,13,1.6
24,33,17,28,0,4.3,10.7,22.2,1.6
24,33,17,28,0,4.3,10.7,22.2,1.6
26.2,32,21,52,0.51,4.2,10,18.3,1.6
26.2,32,21,52,0.51,4.2,10,18.3,1.6
25.2,33,20.6,61,0,4,5.4,14.8,1.6
25.2,33,20.6,61,0,4,5.4,14.8,1.6
26.3,32,20.5,49,5.08,4.7,11.1,22.2,1.6
26.3,32,20.5,49,5.08,4.7,11.1,22.2,1.6
27.7,37,18.4,28,0,4.7,5.9,11.1,1.6
27.7,37,18.4,28,0,4.7,5.9,11.1,1.6
29.8,39,18.5,29,0,4.7,5,14.8,1.6
29.8,39,18.5,29,0,4.7,5,14.8,1.6
30.2,40,20,32,0,4.7,3.9,11.1,1.6
30.2,40,20,32,0,4.7,3.9,11.1,1.6
