T,TM,Tm,H,PP,VV,V,VM,NO2
19.6,24,16,71,0,4,13.5,22.2,18.22
19.6,24,16,71,0,4,13.5,22.2,15.69
19.6,25,15,70,0,4,10,16.5,19.3
19.6,25,15,70,0,4,10,16.5,18.48
18.8,25,15,73,0,3.9,7.2,13,21.42
18.8,25,15,73,0,3.9,7.2,13,38.48
18.9,29,11,60,0,3.7,2.6,11.1,40.62
18.9,29,11,60,0,3.7,2.6,11.1,36.74
19.6,29,12,55,0,3.5,4.3,9.4,31
19.6,29,12,55,0,3.5,4.3,9.4,7.04
18.9,29,12,51,0,4,4.3,11.1,55.8
18.9,29,12,51,0,4,4.3,11.1,40.67
19.2,30,11,56,0,3.5,3.1,9.4,44.2
19.2,30,11,56,0,3.5,3.1,9.4,27.86
19.4,28,12,70,0,2.9,5.4,13,16.96
19.4,28,12,70,0,2.9,5.4,13,21.72
18.9,27,12,52,0,3.9,8.9,18.3,24.73
18.9,27,12,52,0,3.9,8.9,18.3,25.77
19.3,27.2,11,48,0,4,10,14.8,26.88
19.3,27.2,11,48,0,4,10,14.8,26.8
21.8,28.4,15,50,0,4.2,5.7,13,33.56
21.8,28.4,15,50,0,4.2,5.7,13,17.51
21.7,26.5,15,68,0,2.6,4.1,16.5,27.96
21.7,26.5,15,68,0,2.6,4.1,16.5,20.39
18.7,25.1,13,63,0,3.9,5.2,14.8,20.43
18.7,25.1,13,63,0,3.9,5.2,14.8,21.16
17.4,25,12,61,0,3.7,6.5,16.5,21.7
17.4,25,12,61,0,3.7,6.5,16.5,21.11
16.5,24.3,11,57,0,3.9,8,16.5,28.71
16.5,24.3,11,57,0,3.9,8,16.5,28.68
19.2,29.4,11,47,0,4.3,5.9,13,32.66
19.2,29.4,11,47,0,4.3,5.9,13,42.08
23.8,32,14,41,0,4.3,4.4,11.1,35.31
23.8,32,14,41,0,4.3,4.4,11.1,28.4
22.1,31,14,57,0,3.9,3.3,14.8,22.83
22.1,31,14,57,0,3.9,3.3,14.8,21.39
22.2,30,15,57,0,4,5.6,13,26.94
22.2,30,15,57,0,4,5.6,13,31.32
22.4,32,15,44,0,4.3,4.3,11.1,27.3
22.4,32,15,44,0,4.3,4.3,11.1,24.27
21.1,30.3,13,39,0,4.5,5.7,11.1,18.21
21.1,30.3,13,39,0,4.5,5.7,11.1,23.8
22.4,30,14,46,0,4.5,11.1,14.8,30.1
22.4,30,14,46,0,4.5,11.1,14.8,39.56
23.2,33,13,39,0,4.3,4.1,13,47.58
23.2,33,13,39,0,4.3,4.1,13,30.5
24.8,34,14,43,0,4,4.6,14.8,28.1
24.8,34,14,43,0,4,4.6,14.8,21.04
25.8,35,17,55,0,4.2,5,11.1,25.93
25.8,35,17,55,0,4.2,5,11.1,30.09
25.3,34,18,56,0,4,3.9,14.8,36.14
25.3,34,18,56,0,4,3.9,14.8,46.25
26,36,18,49,0,4,3.9,9.4,48.21
26,36,18,49,0,4,3.9,9.4,55.07
26.2,37,17,44,0,4.2,3,9.4,32.01
26.2,37,17,44,0,4.2,3,9.4,10.45
22.9,30,18,42,0,4.7,8.9,18.3,19.75666667
22.9,30,18,42,0,4.7,8.9,18.3,19.75666667
20.8,29,13,31,0,4.7,6.5,18.3,19.75666667
20.8,29,13,31,0,4.7,6.5,18.3,16.81
21.8,31,11.6,32,0,4.2,5,11.1,18.21
21.8,31,11.6,32,0,4.2,5,11.1,28.71
19.9,25.1,15,78,0,3.9,7.2,18.3,29.38
19.9,25.1,15,78,0,3.9,7.2,18.3,42.27
19.6,26,15,65,0,3.9,5.7,16.5,26.934
19.6,26,15,65,0,3.9,5.7,16.5,16.1
21.4,28,14,49,0,4.2,5.2,11.1,16.83
21.4,28,14,49,0,4.2,5.2,11.1,24.07
27.3,35,16.4,37,0,4.3,6.9,22.2,25.59
27.3,35,16.4,37,0,4.3,6.9,22.2,28.94
25.8,34,17,36,0,4.5,5.9,13,27.31
25.8,34,17,36,0,4.5,5.9,13,21.58
24,33,17,28,0,4.3,10.7,22.2,25.03
24,33,17,28,0,4.3,10.7,22.2,14.16
26.2,32,21,52,0.51,4.2,10,18.3,14.14
26.2,32,21,52,0.51,4.2,10,18.3,29.84
25.2,33,20.6,61,0,4,5.4,14.8,29.48
25.2,33,20.6,61,0,4,5.4,14.8,37.05
26.3,32,20.5,49,5.08,4.7,11.1,22.2,36.53
26.3,32,20.5,49,5.08,4.7,11.1,22.2,43.29
27.7,37,18.4,28,0,4.7,5.9,11.1,39.34
27.7,37,18.4,28,0,4.7,5.9,11.1,41.03
29.8,39,18.5,29,0,4.7,5,14.8,31.15
29.8,39,18.5,29,0,4.7,5,14.8,34.48
30.2,40,20,32,0,4.7,3.9,11.1,43.3
30.2,40,20,32,0,4.7,3.9,11.1,35.82
32.8,43,22.3,31,0,4.3,4.4,7.6,27.89
32.8,43,22.3,31,0,4.3,4.4,7.6,21.8
33.7,43,24.4,32,0,4,3.1,11.1,17.99
33.7,43,24.4,32,0,4,3.1,11.1,20
34,42,25.9,44,0,3.4,6.1,14.8,20.07
34,42,25.9,44,0,3.4,6.1,14.8,18.87
29.9,38,21,30,0,4.7,6.7,14.8,13.82
29.9,38,21,30,0,4.7,6.7,14.8,15.5
30.8,39,22.7,33,0,4.3,9.4,20.6,16.7
30.8,39,22.7,33,0,4.3,9.4,20.6,20.86
31.3,39,23,40,0,4.7,12.8,20.6,25.47
31.3,39,23,40,0,4.7,12.8,20.6,30.69
30.8,39,24,42,0,4.3,14.6,27.8,26.7
30.8,39,24,42,0,4.3,14.6,27.8,26.27
31.3,38,24,44,0,3.9,7.6,14.8,14.03
31.3,38,24,44,0,3.9,7.6,14.8,19.56
31.2,39,24.1,43,0,4,4.6,11.1,22.51
31.2,39,24.1,43,0,4,4.6,11.1,21.71
33.1,41,26,31,0,4.7,5.4,14.8,26.23
33.1,41,26,31,0,4.7,5.4,14.8,36.88
27.4,34,20,57,0,4.2,6.1,16.5,46.38
27.4,34,20,57,0,4.2,6.1,16.5,20.27
29.5,36,22.8,51,0,4.3,5.2,11.1,20.18
29.5,36,22.8,51,0,4.3,5.2,11.1,21.32
30.3,37,24,48,0,4.5,4.4,14.8,17.96
30.3,37,24,48,0,4.5,4.4,14.8,13.28
29.9,36.5,23.4,49.5,0,4.4,4.8,12.95,14.29
29.9,36.5,23.4,49.5,0,4.4,4.8,12.95,18.62
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,19.82
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,15.56
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,14.77
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,12.74
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,16.7
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,14.86
32.6,41,24.9,42.5,0,4.4,8.7,17.4,15.9
32.6,41,24.9,42.5,0,4.4,8.7,17.4,23.93
32.4,41,25.1,41,0,4.5,8.5,18.3,23.02
32.4,41,25.1,41,0,4.5,8.5,18.3,10.5
32.8,41,24.7,44,0,4.3,8.9,16.5,0.08
32.8,41,24.7,44,0,4.3,8.9,16.5,4.58
34,43,24.7,43,0,4.3,9.1,18.3,20.47
34,43,24.7,43,0,4.3,9.1,18.3,19.28
34.2,43.5,25.85,43,0,4.15,9.25,19.45,17.82
34.2,43.5,25.85,43,0,4.15,9.25,19.45,17.24
34.4,44,27,43,0,4,9.4,20.6,16.69
34.4,44,27,43,0,4,9.4,20.6,16.08
35.7,45,26.5,29,0,4.5,5.7,13,18.9
35.7,45,26.5,29,0,4.5,5.7,13,30.02
35.5,45,24.1,26,0,4.7,6.7,14.8,28.33
35.5,45,24.1,26,0,4.7,6.7,14.8,28.79
35.6,45,27,27,0,4.7,9.6,14.8,18.79
35.6,45,27,27,0,4.7,9.6,14.8,17.43
34.5,43,27,35,0,4.7,9.3,18.3,15.86
34.5,43,27,35,0,4.7,9.3,18.3,18.16
37.3,44,27.2,24,0,4.7,10.2,18.3,14.9
37.3,44,27.2,24,0,4.7,10.2,18.3,17.18
32.9,43,27.4,49,0,3.7,7.4,16.5,16.28
32.9,43,27.4,49,0,3.7,7.4,16.5,16.17
34.4,40,25.2,48,7.11,3.9,6.1,18.3,15.47
34.4,40,25.2,48,7.11,3.9,6.1,18.3,14.43
36.5,45,27,33,0,4.3,5.9,14.8,13.73
36.5,45,27,33,0,4.3,5.9,14.8,16.61
36.3,46,28.1,42,0,4.7,15,24.1,17.87
36.3,46,28.1,42,0,4.7,15,24.1,17.12
34.9,44,28.4,51,0,4.7,13.3,22.2,15.47
34.9,44,28.4,51,0,4.7,13.3,22.2,15.47
36.1,46,29,46,0,4.5,11.9,18.3,12.74
36.1,46,29,46,0,4.5,11.9,18.3,13.9
35.9,45,29,47,0,4.7,15,22.2,18.73
35.9,45,29,47,0,4.7,15,22.2,17.88
35.2,45,28.4,50,0,4.8,15.6,24.1,19.84
35.2,45,28.4,50,0,4.8,15.6,24.1,16.07
35.6,45,28.7,50,0,4.7,12.4,22.2,16.53
35.6,45,28.7,50,0,4.7,12.4,22.2,11.62
36.3,46,28.7,38,0,4.5,12,18.3,15.59
36.3,46,28.7,38,0,4.5,12,18.3,11.52
34.7,43,29,49,0,4.5,15,27.8,13.33
34.7,43,29,49,0,4.5,15,27.8,14.91
32.8,40.4,27,56,1.015,4.2,13,29.4,18.57
32.8,40.4,27,56,1.015,4.2,13,29.4,20.55
33.6,41,26.5,48,2.03,3.5,12,31.7,16.26
33.6,41,26.5,48,2.03,3.5,12,31.7,14.36
37.6,46,30.5,33,0,4.2,11.7,50,13.51
37.6,46,30.5,33,0,4.2,11.7,50,13.91
33.4,38,30,57,0,4,10.6,22.2,11.68
33.4,38,30,57,0,4,10.6,22.2,10.61
32.3,40,29,61,0,4.5,12.2,24.1,11.07
32.3,40,29,61,0,4.5,12.2,24.1,11.16
32.4,39.3,28,64,0,4.3,13.5,29.4,10.1
32.4,39.3,28,64,0,4.3,13.5,29.4,9.68
32.1,40,27.2,64,0,4.2,14.3,27.8,12.79
32.1,40,27.2,64,0,4.2,14.3,27.8,9.83
32.3,40,27.6,62,0.25,4.2,12,24.1,9.53
32.3,40,27.6,62,0.25,4.2,12,24.1,11.51
32.7,37,28,63,0,4,8.1,14.8,13.59
32.7,37,28,63,0,4,8.1,14.8,10.9
32.8,39,27.2,60,0,4.3,10,18.3,11.94
32.8,39,27.2,60,0,4.3,10,18.3,9.81
33.4,39,27.7,61,0,4.7,11.3,18.3,9.53
33.4,39,27.7,61,0,4.7,11.3,18.3,9.45
30.1,35,25.3,78,130.05,3.7,14.8,22.2,12.38
30.1,35,25.3,78,130.05,3.7,14.8,22.2,11.08
31.2,36.5,27.1,73,0,3.5,17.2,25.9,7.8
31.2,36.5,27.1,73,0,3.5,17.2,25.9,0.17
31.4,36.8,26.9,70,0,3.7,15.6,29.4,0.12
31.4,36.8,26.9,70,0,3.7,15.6,29.4,0.16
31.8,37.4,27.5,63,0,4.3,13.9,27.8,0.17
31.8,37.4,27.5,63,0,4.3,13.9,27.8,0.24
32.1,38,27.7,61,0,4.7,16.9,24.1,0.36
32.1,38,27.7,61,0,4.7,16.9,24.1,2.69
31.8,38,27.5,63,0,4.7,15.4,25.9,8.07
31.8,38,27.5,63,0,4.7,15.4,25.9,8.02
30.9,36.4,28,66,0,4.3,14.1,24.1,8
30.9,36.4,28,66,0,4.3,14.1,24.1,7.89
31,35,28,68,2.03,4.3,11.9,18.3,8.1
31,35,28,68,2.03,4.3,11.9,18.3,7.9
32.2,37,27.7,59,0,4.7,16.5,22.2,8.28
32.2,37,27.7,59,0,4.7,16.5,22.2,9.73
33.6,38,28.8,58,0,4.5,11.5,16.5,9.57
33.6,38,28.8,58,0,4.5,11.5,16.5,8.64
33.3,38,29,57,0,4.7,12.8,20.6,8.78
33.3,38,29,57,0,4.7,12.8,20.6,9.45
32.4,37.9,28,60,0,4.5,15.9,25.9,11.26
32.4,37.9,28,60,0,4.5,15.9,25.9,10.89
31.5,34,28.8,63,0,4.5,13.3,22.2,10.58
31.5,34,28.8,63,0,4.5,13.3,22.2,10.47
30.4,33,28,69,0,4.2,10,18.3,10.52
30.4,33,28,69,0,4.2,10,18.3,10.51
29.6,35.4,27,79,6.1,3.5,5,13,11.56
29.6,35.4,27,79,6.1,3.5,5,13,20.52
28.4,31.6,26,81,7.87,3.4,12.8,22.2,20.42
28.4,31.6,26,81,7.87,3.4,12.8,22.2,20.4
25.9,29,24,92,23.11,2.3,13.9,25.9,20.3
25.9,29,24,92,23.11,2.3,13.9,25.9,20.21
24.6,27,23,95,71.88,2.4,15.7,27.8,20.09
24.6,27,23,95,71.88,2.4,15.7,27.8,20.21
28.6,33,25.8,75,0.25,4.7,14.3,22.2,20.23
28.6,33,25.8,75,0.25,4.7,14.3,22.2,20.2
29.3,32.3,26.2,73,0,4.7,14.3,24.1,20.06
29.3,32.3,26.2,73,0,4.7,14.3,24.1,19.94
28.8,32.2,26.3,75,0,4.3,12.2,24.1,20.27
28.8,32.2,26.3,75,0,4.3,12.2,24.1,20.24
