T,TM,Tm,H,PP,VV,V,VM,NOx
19.6,24,16,71,0,4,13.5,22.2,17.15
19.6,24,16,71,0,4,13.5,22.2,16.46
19.6,25,15,70,0,4,10,16.5,29.7
19.6,25,15,70,0,4,10,16.5,17.97
18.8,25,15,73,0,3.9,7.2,13,37.76
18.8,25,15,73,0,3.9,7.2,13,81.5
18.9,29,11,60,0,3.7,2.6,11.1,130.77
18.9,29,11,60,0,3.7,2.6,11.1,96.75
19.6,29,12,55,0,3.5,4.3,9.4,48
19.6,29,12,55,0,3.5,4.3,9.4,0
18.9,29,12,51,0,4,4.3,11.1,24.53
18.9,29,12,51,0,4,4.3,11.1,90.24
19.2,30,11,56,0,3.5,3.1,9.4,87.09
19.2,30,11,56,0,3.5,3.1,9.4,33.05
19.4,28,12,70,0,2.9,5.4,13,16.6
19.4,28,12,70,0,2.9,5.4,13,22.86
18.9,27,12,52,0,3.9,8.9,18.3,34.75
18.9,27,12,52,0,3.9,8.9,18.3,29.57
19.3,27.2,11,48,0,4,10,14.8,27.45
19.3,27.2,11,48,0,4,10,14.8,32.4
21.8,28.4,15,50,0,4.2,5.7,13,39.28
21.8,28.4,15,50,0,4.2,5.7,13,22.33
21.7,26.5,15,68,0,2.6,4.1,16.5,47.79
21.7,26.5,15,68,0,2.6,4.1,16.5,21.4
18.7,25.1,13,63,0,3.9,5.2,14.8,20.19
18.7,25.1,13,63,0,3.9,5.2,14.8,21.81
17.4,25,12,61,0,3.7,6.5,16.5,23.26
17.4,25,12,61,0,3.7,6.5,16.5,25.84
16.5,24.3,11,57,0,3.9,8,16.5,33.72
16.5,24.3,11,57,0,3.9,8,16.5,41.08
19.2,29.4,11,47,0,4.3,5.9,13,52.61
19.2,29.4,11,47,0,4.3,5.9,13,84.57
23.8,32,14,41,0,4.3,4.4,11.1,72.8
23.8,32,14,41,0,4.3,4.4,11.1,56.73
22.1,31,14,57,0,3.9,3.3,14.8,24
22.1,31,14,57,0,3.9,3.3,14.8,23.31
22.2,30,15,57,0,4,5.6,13,26.83
22.2,30,15,57,0,4,5.6,13,37.73
22.4,32,15,44,0,4.3,4.3,11.1,33.42
22.4,32,15,44,0,4.3,4.3,11.1,26.86
21.1,30.3,13,39,0,4.5,5.7,11.1,18.75
21.1,30.3,13,39,0,4.5,5.7,11.1,28.24
22.4,30,14,46,0,4.5,11.1,14.8,44.21
22.4,30,14,46,0,4.5,11.1,14.8,57.33
23.2,33,13,39,0,4.3,4.1,13,77.85
23.2,33,13,39,0,4.3,4.1,13,44.87
24.8,34,14,43,0,4,4.6,14.8,47.31
24.8,34,14,43,0,4,4.6,14.8,35.67
25.8,35,17,55,0,4.2,5,11.1,41.91
25.8,35,17,55,0,4.2,5,11.1,40.47
25.3,34,18,56,0,4,3.9,14.8,68.85
25.3,34,18,56,0,4,3.9,14.8,106.92
26,36,18,49,0,4,3.9,9.4,92.32
26,36,18,49,0,4,3.9,9.4,131.32
26.2,37,17,44,0,4.2,3,9.4,42.56
26.2,37,17,44,0,4.2,3,9.4,10.39
22.9,30,18,42,0,4.7,8.9,18.3,24.62333333
22.9,30,18,42,0,4.7,8.9,18.3,24.62333333
20.8,29,13,31,0,4.7,6.5,18.3,24.62333333
20.8,29,13,31,0,4.7,6.5,18.3,20.92
21.8,31,11.6,32,0,4.2,5,11.1,27.34
21.8,31,11.6,32,0,4.2,5,11.1,40.76
19.9,25.1,15,78,0,3.9,7.2,18.3,47.01
19.9,25.1,15,78,0,3.9,7.2,18.3,90.73
19.6,26,15,65,0,3.9,5.7,16.5,44.9
19.6,26,15,65,0,3.9,5.7,16.5,18.66
21.4,28,14,49,0,4.2,5.2,11.1,20.32
21.4,28,14,49,0,4.2,5.2,11.1,27.9
27.3,35,16.4,37,0,4.3,6.9,22.2,30.51
