T,TM,Tm,H,PP,VV,V,VM,O3
19.6,24,16,71,0,4,13.5,22.2,133.36
19.6,24,16,71,0,4,13.5,22.2,34.06
19.6,25,15,70,0,4,10,16.5,30.7
19.6,25,15,70,0,4,10,16.5,36.08
18.8,25,15,73,0,3.9,7.2,13,39.31
18.8,25,15,73,0,3.9,7.2,13,46.51
18.9,29,11,60,0,3.7,2.6,11.1,33.47
18.9,29,11,60,0,3.7,2.6,11.1,31.89
19.6,29,12,55,0,3.5,4.3,9.4,25.75
19.6,29,12,55,0,3.5,4.3,9.4,4.55
18.9,29,12,51,0,4,4.3,11.1,6.79
18.9,29,12,51,0,4,4.3,11.1,45.89
19.2,30,11,56,0,3.5,3.1,9.4,35.16
19.2,30,11,56,0,3.5,3.1,9.4,20.96
19.4,28,12,70,0,2.9,5.4,13,47.63
19.4,28,12,70,0,2.9,5.4,13,46.03
18.9,27,12,52,0,3.9,8.9,18.3,52.24
18.9,27,12,52,0,3.9,8.9,18.3,53.49
19.3,27.2,11,48,0,4,10,14.8,49.48
19.3,27.2,11,48,0,4,10,14.8,56.37
21.8,28.4,15,50,0,4.2,5.7,13,48.75
21.8,28.4,15,50,0,4.2,5.7,13,42.22
21.7,26.5,15,68,0,2.6,4.1,16.5,32.92
21.7,26.5,15,68,0,2.6,4.1,16.5,32.49
18.7,25.1,13,63,0,3.9,5.2,14.8,39.26
18.7,25.1,13,63,0,3.9,5.2,14.8,39.83
17.4,25,12,61,0,3.7,6.5,16.5,41.1
17.4,25,12,61,0,3.7,6.5,16.5,62.42
16.5,24.3,11,57,0,3.9,8,16.5,59.76
16.5,24.3,11,57,0,3.9,8,16.5,97.07
19.2,29.4,11,47,0,4.3,5.9,13,111.33
19.2,29.4,11,47,0,4.3,5.9,13,102.7
23.8,32,14,41,0,4.3,4.4,11.1,107.38
23.8,32,14,41,0,4.3,4.4,11.1,73.6
22.1,31,14,57,0,3.9,3.3,14.8,47.3
22.1,31,14,57,0,3.9,3.3,14.8,53.54
22.2,30,15,57,0,4,5.6,13,59.3
22.2,30,15,57,0,4,5.6,13,44.76
22.4,32,15,44,0,4.3,4.3,11.1,47.42
22.4,32,15,44,0,4.3,4.3,11.1,39.94
21.1,30.3,13,39,0,4.5,5.7,11.1,56.15
21.1,30.3,13,39,0,4.5,5.7,11.1,53.14
22.4,30,14,46,0,4.5,11.1,14.8,31.88
22.4,30,14,46,0,4.5,11.1,14.8,40.11
23.2,33,13,39,0,4.3,4.1,13,36.47
23.2,33,13,39,0,4.3,4.1,13,33.78
24.8,34,14,43,0,4,4.6,14.8,30.57
24.8,34,14,43,0,4,4.6,14.8,36.2
25.8,35,17,55,0,4.2,5,11.1,37.43
25.8,35,17,55,0,4.2,5,11.1,31.94
25.3,34,18,56,0,4,3.9,14.8,40.98
25.3,34,18,56,0,4,3.9,14.8,33.55
26,36,18,49,0,4,3.9,9.4,34.77
26,36,18,49,0,4,3.9,9.4,37.3
26.2,37,17,44,0,4.2,3,9.4,38.8
26.2,37,17,44,0,4.2,3,9.4,67.25
22.9,30,18,42,0,4.7,8.9,18.3,45.51
22.9,30,18,42,0,4.7,8.9,18.3,45.51
20.8,29,13,31,0,4.7,6.5,18.3,45.51
20.8,29,13,31,0,4.7,6.5,18.3,30.48
21.8,31,11.6,32,0,4.2,5,11.1,34.75
21.8,31,11.6,32,0,4.2,5,11.1,38.46
19.9,25.1,15,78,0,3.9,7.2,18.3,46.79
19.9,25.1,15,78,0,3.9,7.2,18.3,59.39
