T,TM,Tm,H,PP,VV,V,VM,PM10
19.6,24,16,71,0,4,13.5,22.2,134.5612308
19.6,24,16,71,0,4,13.5,22.2,134.5612308
19.6,25,15,70,0,4,10,16.5,134.5612308
19.6,25,15,70,0,4,10,16.5,134.5612308
18.8,25,15,73,0,3.9,7.2,13,134.5612308
18.8,25,15,73,0,3.9,7.2,13,134.5612308
18.9,29,11,60,0,3.7,2.6,11.1,134.5612308
18.9,29,11,60,0,3.7,2.6,11.1,134.5612308
19.6,29,12,55,0,3.5,4.3,9.4,134.5612308
19.6,29,12,55,0,3.5,4.3,9.4,134.5612308
18.9,29,12,51,0,4,4.3,11.1,134.5612308
18.9,29,12,51,0,4,4.3,11.1,134.5612308
19.2,30,11,56,0,3.5,3.1,9.4,134.5612308
19.2,30,11,56,0,3.5,3.1,9.4,134.5612308
19.4,28,12,70,0,2.9,5.4,13,134.5612308
19.4,28,12,70,0,2.9,5.4,13,134.5612308
18.9,27,12,52,0,3.9,8.9,18.3,134.5612308
18.9,27,12,52,0,3.9,8.9,18.3,134.5612308
19.3,27.2,11,48,0,4,10,14.8,134.5612308
19.3,27.2,11,48,0,4,10,14.8,134.5612308
21.8,28.4,15,50,0,4.2,5.7,13,134.5612308
21.8,28.4,15,50,0,4.2,5.7,13,134.5612308
21.7,26.5,15,68,0,2.6,4.1,16.5,134.5612308
21.7,26.5,15,68,0,2.6,4.1,16.5,134.5612308
18.7,25.1,13,63,0,3.9,5.2,14.8,134.5612308
18.7,25.1,13,63,0,3.9,5.2,14.8,134.5612308
17.4,25,12,61,0,3.7,6.5,16.5,134.5612308
17.4,25,12,61,0,3.7,6.5,16.5,134.5612308
16.5,24.3,11,57,0,3.9,8,16.5,134.5612308
16.5,24.3,11,57,0,3.9,8,16.5,134.5612308
19.2,29.4,11,47,0,4.3,5.9,13,134.5612308
19.2,29.4,11,47,0,4.3,5.9,13,134.5612308
23.8,32,14,41,0,4.3,4.4,11.1,134.5612308
23.8,32,14,41,0,4.3,4.4,11.1,134.5612308
22.1,31,14,57,0,3.9,3.3,14.8,134.5612308
22.1,31,14,57,0,3.9,3.3,14.8,134.5612308
22.2,30,15,57,0,4,5.6,13,134.5612308
22.2,30,15,57,0,4,5.6,13,134.5612308
22.4,32,15,44,0,4.3,4.3,11.1,134.5612308
22.4,32,15,44,0,4.3,4.3,11.1,134.5612308
