T,TM,Tm,H,PP,VV,V,VM,PM2.5
19.6,24,16,71,0,4,13.5,22.2,84.16442308
19.6,24,16,71,0,4,13.5,22.2,84.16442308
19.6,25,15,70,0,4,10,16.5,84.16442308
19.6,25,15,70,0,4,10,16.5,84.16442308
18.8,25,15,73,0,3.9,7.2,13,84.16442308
18.8,25,15,73,0,3.9,7.2,13,84.16442308
18.9,29,11,60,0,3.7,2.6,11.1,84.16442308
18.9,29,11,60,0,3.7,2.6,11.1,84.16442308
19.6,29,12,55,0,3.5,4.3,9.4,84.16442308
19.6,29,12,55,0,3.5,4.3,9.4,84.16442308
18.9,29,12,51,0,4,4.3,11.1,84.16442308
18.9,29,12,51,0,4,4.3,11.1,84.16442308
19.2,30,11,56,0,3.5,3.1,9.4,84.16442308
19.2,30,11,56,0,3.5,3.1,9.4,84.16442308
19.4,28,12,70,0,2.9,5.4,13,84.16442308
19.4,28,12,70,0,2.9,5.4,13,84.16442308
18.9,27,12,52,0,3.9,8.9,18.3,84.16442308
18.9,27,12,52,0,3.9,8.9,18.3,84.16442308
19.3,27.2,11,48,0,4,10,14.8,87.86625
19.3,27.2,11,48,0,4,10,14.8,87.86625
21.8,28.4,15,50,0,4.2,5.7,13,87.86625
21.8,28.4,15,50,0,4.2,5.7,13,87.86625
21.7,26.5,15,68,0,2.6,4.1,16.5,87.86625
21.7,26.5,15,68,0,2.6,4.1,16.5,87.86625
18.7,25.1,13,63,0,3.9,5.2,14.8,78.73666667
18.7,25.1,13,63,0,3.9,5.2,14.8,78.73666667
17.4,25,12,61,0,3.7,6.5,16.5,78.73666667
17.4,25,12,61,0,3.7,6.5,16.5,73.24
16.5,24.3,11,57,0,3.9,8,16.5,83.13
16.5,24.3,11,57,0,3.9,8,16.5,79.84
19.2,29.4,11,47,0,4.3,5.9,13,94.52
19.2,29.4,11,47,0,4.3,5.9,13,135.99
23.8,32,14,41,0,4.3,4.4,11.1,178.33
23.8,32,14,41,0,4.3,4.4,11.1,139.7
22.1,31,14,57,0,3.9,3.3,14.8,80.65
22.1,31,14,57,0,3.9,3.3,14.8,58.36
22.2,30,15,57,0,4,5.6,13,79.29
22.2,30,15,57,0,4,5.6,13,88.7
22.4,32,15,44,0,4.3,4.3,11.1,74.28
22.4,32,15,44,0,4.3,4.3,11.1,113.93
21.1,30.3,13,39,0,4.5,5.7,11.1,105.39
21.1,30.3,13,39,0,4.5,5.7,11.1,66.52
22.4,30,14,46,0,4.5,11.1,14.8,65.04
22.4,30,14,46,0,4.5,11.1,14.8,103.36
23.2,33,13,39,0,4.3,4.1,13,177.33
23.2,33,13,39,0,4.3,4.1,13,113.25
24.8,34,14,43,0,4,4.6,14.8,99.7
24.8,34,14,43,0,4,4.6,14.8,80.61
25.8,35,17,55,0,4.2,5,11.1,100.79
25.8,35,17,55,0,4.2,5,11.1,107.99
25.3,34,18,56,0,4,3.9,14.8,140.29
25.3,34,18,56,0,4,3.9,14.8,239.96
26,36,18,49,0,4,3.9,9.4,142.96
26,36,18,49,0,4,3.9,9.4,238.41
26.2,37,17,44,0,4.2,3,9.4,118.72
26.2,37,17,44,0,4.2,3,9.4,52.99
22.9,30,18,42,0,4.7,8.9,18.3,77.61
22.9,30,18,42,0,4.7,8.9,18.3,77.61
20.8,29,13,31,0,4.7,6.5,18.3,77.61
20.8,29,13,31,0,4.7,6.5,18.3,61.12
21.8,31,11.6,32,0,4.2,5,11.1,60.78
21.8,31,11.6,32,0,4.2,5,11.1,91.83
19.9,25.1,15,78,0,3.9,7.2,18.3,93.88
19.9,25.1,15,78,0,3.9,7.2,18.3,173.01
19.6,26,15,65,0,3.9,5.7,16.5,104.99
19.6,26,15,65,0,3.9,5.7,16.5,105.45
21.4,28,14,49,0,4.2,5.2,11.1,71.56
21.4,28,14,49,0,4.2,5.2,11.1,119.8
27.3,35,16.4,37,0,4.3,6.9,22.2,106.71
27.3,35,16.4,37,0,4.3,6.9,22.2,118.49
25.8,34,17,36,0,4.5,5.9,13,106.01
25.8,34,17,36,0,4.5,5.9,13,97.34
24,33,17,28,0,4.3,10.7,22.2,83.92
24,33,17,28,0,4.3,10.7,22.2,49.51
26.2,32,21,52,0.51,4.2,10,18.3,30.76
26.2,32,21,52,0.51,4.2,10,18.3,50.29
25.2,33,20.6,61,0,4,5.4,14.8,57.69
25.2,33,20.6,61,0,4,5.4,14.8,105.06
26.3,32,20.5,49,5.08,4.7,11.1,22.2,94.1
26.3,32,20.5,49,5.08,4.7,11.1,22.2,111.89
27.7,37,18.4,28,0,4.7,5.9,11.1,108.59
27.7,37,18.4,28,0,4.7,5.9,11.1,130.76
29.8,39,18.5,29,0,4.7,5,14.8,143.55
29.8,39,18.5,29,0,4.7,5,14.8,165.07
30.2,40,20,32,0,4.7,3.9,11.1,166.85
30.2,40,20,32,0,4.7,3.9,11.1,147.38
32.8,43,22.3,31,0,4.3,4.4,7.6,158.25
32.8,43,22.3,31,0,4.3,4.4,7.6,237.76
33.7,43,24.4,32,0,4,3.1,11.1,133.37
33.7,43,24.4,32,0,4,3.1,11.1,133.3
34,42,25.9,44,0,3.4,6.1,14.8,96.04
34,42,25.9,44,0,3.4,6.1,14.8,77.69
29.9,38,21,30,0,4.7,6.7,14.8,53.07
29.9,38,21,30,0,4.7,6.7,14.8,63.11
30.8,39,22.7,33,0,4.3,9.4,20.6,156.76
30.8,39,22.7,33,0,4.3,9.4,20.6,120.96
31.3,39,23,40,0,4.7,12.8,20.6,138.63
31.3,39,23,40,0,4.7,12.8,20.6,144.36
30.8,39,24,42,0,4.3,14.6,27.8,85.03
30.8,39,24,42,0,4.3,14.6,27.8,134.6
31.3,38,24,44,0,3.9,7.6,14.8,61.06
31.3,38,24,44,0,3.9,7.6,14.8,39.42
31.2,39,24.1,43,0,4,4.6,11.1,111.86
31.2,39,24.1,43,0,4,4.6,11.1,58.37
33.1,41,26,31,0,4.7,5.4,14.8,95.37
33.1,41,26,31,0,4.7,5.4,14.8,141.3
27.4,34,20,57,0,4.2,6.1,16.5,106.68
27.4,34,20,57,0,4.2,6.1,16.5,109.48
29.5,36,22.8,51,0,4.3,5.2,11.1,126.04
29.5,36,22.8,51,0,4.3,5.2,11.1,71.22
30.3,37,24,48,0,4.5,4.4,14.8,97.87
30.3,37,24,48,0,4.5,4.4,14.8,63.38
29.9,36.5,23.4,49.5,0,4.4,4.8,12.95,75.29
29.9,36.5,23.4,49.5,0,4.4,4.8,12.95,80.9
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,103.29
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,107.5
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,161.14
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,102.58
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,138.42
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,129.04
32.6,41,24.9,42.5,0,4.4,8.7,17.4,96.65
32.6,41,24.9,42.5,0,4.4,8.7,17.4,126.77
32.4,41,25.1,41,0,4.5,8.5,18.3,106.15
32.4,41,25.1,41,0,4.5,8.5,18.3,86.31
32.8,41,24.7,44,0,4.3,8.9,16.5,83.99
32.8,41,24.7,44,0,4.3,8.9,16.5,65.11
34,43,24.7,43,0,4.3,9.1,18.3,51.03
34,43,24.7,43,0,4.3,9.1,18.3,38.73
34.2,43.5,25.85,43,0,4.15,9.25,19.45,61.12
34.2,43.5,25.85,43,0,4.15,9.25,19.45,58.44
34.4,44,27,43,0,4,9.4,20.6,61.49
34.4,44,27,43,0,4,9.4,20.6,65.39
35.7,45,26.5,29,0,4.5,5.7,13,100.92
35.7,45,26.5,29,0,4.5,5.7,13,97.48
35.5,45,24.1,26,0,4.7,6.7,14.8,129.27
35.5,45,24.1,26,0,4.7,6.7,14.8,129.58
35.6,45,27,27,0,4.7,9.6,14.8,100.57
35.6,45,27,27,0,4.7,9.6,14.8,130.34
34.5,43,27,35,0,4.7,9.3,18.3,53.24
34.5,43,27,35,0,4.7,9.3,18.3,42
37.3,44,27.2,24,0,4.7,10.2,18.3,50.1
