T,TM,Tm,H,PP,VV,V,VM,SO2
19.6,24,16,71,0,4,13.5,22.2,27.64
19.6,24,16,71,0,4,13.5,22.2,24.55
19.6,25,15,70,0,4,10,16.5,29.07
19.6,25,15,70,0,4,10,16.5,18.59
18.8,25,15,73,0,3.9,7.2,13,39.33
18.8,25,15,73,0,3.9,7.2,13,45.76
18.9,29,11,60,0,3.7,2.6,11.1,32.28
18.9,29,11,60,0,3.7,2.6,11.1,38.54
19.6,29,12,55,0,3.5,4.3,9.4,58.68
19.6,29,12,55,0,3.5,4.3,9.4,8.29
18.9,29,12,51,0,4,4.3,11.1,25.03
18.9,29,12,51,0,4,4.3,11.1,51.84
19.2,30,11,56,0,3.5,3.1,9.4,68.21
19.2,30,11,56,0,3.5,3.1,9.4,52.65
19.4,28,12,70,0,2.9,5.4,13,28.89
19.4,28,12,70,0,2.9,5.4,13,38.27
18.9,27,12,52,0,3.9,8.9,18.3,49.5
18.9,27,12,52,0,3.9,8.9,18.3,48.43
19.3,27.2,11,48,0,4,10,14.8,50.03
19.3,27.2,11,48,0,4,10,14.8,58.87
21.8,28.4,15,50,0,4.2,5.7,13,106.93
21.8,28.4,15,50,0,4.2,5.7,13,23.71
21.7,26.5,15,68,0,2.6,4.1,16.5,39.19
21.7,26.5,15,68,0,2.6,4.1,16.5,40.07
18.7,25.1,13,63,0,3.9,5.2,14.8,58.41
18.7,25.1,13,63,0,3.9,5.2,14.8,43.73
17.4,25,12,61,0,3.7,6.5,16.5,43.28
17.4,25,12,61,0,3.7,6.5,16.5,36.52
16.5,24.3,11,57,0,3.9,8,16.5,49.52
16.5,24.3,11,57,0,3.9,8,16.5,48.49
19.2,29.4,11,47,0,4.3,5.9,13,67.39
19.2,29.4,11,47,0,4.3,5.9,13,75.23
23.8,32,14,41,0,4.3,4.4,11.1,55.04
23.8,32,14,41,0,4.3,4.4,11.1,33.79
22.1,31,14,57,0,3.9,3.3,14.8,25.73
22.1,31,14,57,0,3.9,3.3,14.8,32.66
22.2,30,15,57,0,4,5.6,13,67.41
22.2,30,15,57,0,4,5.6,13,80.09
22.4,32,15,44,0,4.3,4.3,11.1,54.28
22.4,32,15,44,0,4.3,4.3,11.1,48.73
21.1,30.3,13,39,0,4.5,5.7,11.1,35.91
21.1,30.3,13,39,0,4.5,5.7,11.1,66.58
22.4,30,14,46,0,4.5,11.1,14.8,65.91
22.4,30,14,46,0,4.5,11.1,14.8,80.43
23.2,33,13,39,0,4.3,4.1,13,99.72
23.2,33,13,39,0,4.3,4.1,13,69.71
24.8,34,14,43,0,4,4.6,14.8,73.23
24.8,34,14,43,0,4,4.6,14.8,54.7
25.8,35,17,55,0,4.2,5,11.1,43.11
25.8,35,17,55,0,4.2,5,11.1,84.86
25.3,34,18,56,0,4,3.9,14.8,101.53
25.3,34,18,56,0,4,3.9,14.8,84.87
26,36,18,49,0,4,3.9,9.4,62.96
26,36,18,49,0,4,3.9,9.4,89.07
26.2,37,17,44,0,4.2,3,9.4,61.54
26.2,37,17,44,0,4.2,3,9.4,32.76
22.9,30,18,42,0,4.7,8.9,18.3,40.91333333
22.9,30,18,42,0,4.7,8.9,18.3,40.91333333
20.8,29,13,31,0,4.7,6.5,18.3,40.91333333
20.8,29,13,31,0,4.7,6.5,18.3,28.44
